"year","month_name","month","country","max_emails_opened","running_total_opened_emails","no_of_customers_who_sent_atleast_one_email"
"2021","April","4","Mexico","433","716","2"
"2021","May","5","Mexico","14","730","1"
"2021","June","6","Mexico","4","734","1"
"2021","December","12","Mexico","6","740","1"
"2020","July","7","Micronesia","69","69","1"
"2020","August","8","Micronesia","59","128","3"
"2020","November","11","Micronesia","29","157","4"
"2020","December","12","Micronesia","162","319","4"
"2021","January","1","Micronesia","6","325","1"
"2021","February","2","Micronesia","105","430","1"
"2021","March","3","Micronesia","276","706","2"
"2021","April","4","Micronesia","144","850","2"
"2021","May","5","Micronesia","25","875","2"
"2021","August","8","Micronesia","279","1154","3"
"2021","September","9","Micronesia","45","1199","3"
"2021","October","10","Micronesia","26","1225","2"
"2021","December","12","Micronesia","74","1299","1"
"2020","July","7","Moldova","44","44","1"
"2020","December","12","Moldova","175","219","1"
"2021","May","5","Moldova","16","235","1"
"2021","August","8","Moldova","500","735","1"
"2021","September","9","Moldova","48","783","1"
"2021","October","10","Moldova","251","1034","1"
"2021","November","11","Moldova","15","1049","1"
"2021","December","12","Moldova","60","1109","1"
"2020","November","11","Monaco","4","4","1"
"2021","March","3","Monaco","1","5","1"
"2021","April","4","Monaco","76","81","2"
"2021","May","5","Monaco","295","376","1"
"2021","September","9","Monaco","452","828","1"
"2020","July","7","Mongolia","57","57","1"
"2020","August","8","Mongolia","152","209","2"
"2020","November","11","Mongolia","166","375","3"
"2020","December","12","Mongolia","106","481","1"
"2021","April","4","Mongolia","216","697","2"
"2021","May","5","Mongolia","15","712","2"
"2021","August","8","Mongolia","101","813","2"
"2021","September","9","Mongolia","111","924","2"
"2021","November","11","Mongolia","492","1416","1"
"2020","July","7","Montenegro","21","21","2"
"2020","August","8","Montenegro","18","39","1"
"2020","November","11","Montenegro","119","158","3"
"2020","December","12","Montenegro","500","658","5"
"2021","January","1","Montenegro","10","668","1"
"2021","February","2","Montenegro","22","690","1"
"2021","March","3","Montenegro","27","717","1"
"2021","April","4","Montenegro","39","756","2"
"2021","May","5","Montenegro","305","1061","4"
"2021","June","6","Montenegro","98","1159","1"
"2021","August","8","Montenegro","260","1419","4"
"2021","September","9","Montenegro","59","1478","2"
"2021","October","10","Montenegro","17","1495","1"
"2021","December","12","Montenegro","1","1496","1"
"2020","July","7","Montserrat","24","24","1"
"2020","August","8","Montserrat","177","201","2"
"2020","September","9","Montserrat","10","211","1"
"2020","November","11","Montserrat","43","254","1"
"2020","December","12","Montserrat","31","285","1"
"2021","March","3","Montserrat","46","331","1"
"2021","September","9","Montserrat","14","345","1"
"2021","October","10","Montserrat","62","407","1"
"2021","November","11","Montserrat","18","425","1"
"2021","December","12","Montserrat","69","494","1"
"2020","August","8","Morocco","22","22","1"
"2021","February","2","Morocco","1","23","1"
"2021","September","9","Morocco","3","26","1"
"2021","October","10","Morocco","114","140","1"
"2021","November","11","Morocco","16","156","1"
"2021","December","12","Morocco","74","230","1"
"2020","October","10","Mozambique","1","1","1"
"2020","November","11","Mozambique","20","21","1"
"2021","April","4","Mozambique","50","71","1"
"2021","September","9","Mozambique","21","92","1"
"2021","November","11","Mozambique","1","93","1"
"2020","August","8","Myanmar","330","330","2"
"2020","November","11","Myanmar","89","419","3"
"2020","December","12","Myanmar","34","453","1"
"2021","February","2","Myanmar","41","494","2"
"2021","April","4","Myanmar","10","504","2"
"2021","May","5","Myanmar","100","604","3"
"2021","June","6","Myanmar","7","611","1"
"2021","August","8","Myanmar","7","618","1"
"2021","September","9","Myanmar","18","636","1"
"2021","December","12","Myanmar","36","672","1"
"2020","August","8","Namibia","5","5","1"
"2020","November","11","Namibia","33","38","2"
"2020","December","12","Namibia","72","110","2"
"2021","February","2","Namibia","59","169","1"
"2021","March","3","Namibia","40","209","2"
"2021","April","4","Namibia","188","397","1"
"2021","August","8","Namibia","17","414","1"
"2021","September","9","Namibia","1","415","1"
"2021","October","10","Namibia","23","438","1"
"2021","December","12","Namibia","89","527","1"
"2020","August","8","Nauru","12","12","2"
"2020","November","11","Nauru","65","77","3"
"2021","February","2","Nauru","2","79","1"
"2021","March","3","Nauru","125","204","2"
"2021","April","4","Nauru","7","211","1"
"2021","May","5","Nauru","66","277","2"
"2021","September","9","Nauru","1","278","1"
"2021","October","10","Nauru","89","367","2"
"2021","December","12","Nauru","27","394","1"
"2020","July","7","Nepal","24","24","1"
"2020","November","11","Nepal","13","37","1"
"2020","December","12","Nepal","1","38","1"
"2021","February","2","Nepal","72","110","1"
"2021","May","5","Nepal","19","129","1"
"2021","December","12","Nepal","3","132","1"
"2020","July","7","Netherlands","14","14","1"
"2020","August","8","Netherlands","13","27","1"
"2020","November","11","Netherlands","223","250","6"
"2020","December","12","Netherlands","214","464","2"
"2021","January","1","Netherlands","86","550","1"
"2021","March","3","Netherlands","17","567","3"
"2021","April","4","Netherlands","68","635","3"
"2021","May","5","Netherlands","135","770","3"
"2021","June","6","Netherlands","347","1117","1"
"2021","October","10","Netherlands","56","1173","1"
"2021","December","12","Netherlands","41","1214","2"
"2020","July","7","Netherlands Antilles","117","117","2"
"2020","August","8","Netherlands Antilles","69","186","2"
"2020","November","11","Netherlands Antilles","195","381","3"
"2021","January","1","Netherlands Antilles","49","430","1"
"2021","March","3","Netherlands Antilles","8","438","3"
"2021","April","4","Netherlands Antilles","286","724","3"
"2021","May","5","Netherlands Antilles","33","757","2"
"2021","August","8","Netherlands Antilles","340","1097","5"
"2021","September","9","Netherlands Antilles","393","1490","5"
"2021","October","10","Netherlands Antilles","14","1504","1"
"2021","December","12","Netherlands Antilles","22","1526","1"
"2021","May","5","New Caledonia","14","14","1"
"2021","September","9","New Caledonia","269","283","1"
"2021","November","11","New Caledonia","51","334","1"
"2020","July","7","New Zealand","500","500","2"
"2020","August","8","New Zealand","25","525","3"
"2020","September","9","New Zealand","13","538","1"
"2020","November","11","New Zealand","219","757","3"
"2020","December","12","New Zealand","225","982","4"
"2021","January","1","New Zealand","36","1018","1"
"2021","February","2","New Zealand","167","1185","1"
"2021","March","3","New Zealand","91","1276","2"
"2021","April","4","New Zealand","23","1299","1"
"2021","May","5","New Zealand","15","1314","2"
"2021","August","8","New Zealand","30","1344","1"
"2021","September","9","New Zealand","33","1377","2"
"2021","October","10","New Zealand","203","1580","2"
"2020","July","7","Nicaragua","28","28","1"
"2020","November","11","Nicaragua","44","72","2"
"2020","December","12","Nicaragua","96","168","3"
"2021","February","2","Nicaragua","13","181","1"
"2021","April","4","Nicaragua","11","192","1"
"2021","May","5","Nicaragua","14","206","2"
"2021","June","6","Nicaragua","7","213","1"
"2021","August","8","Nicaragua","7","220","1"
"2021","September","9","Nicaragua","1","221","1"
"2021","October","10","Nicaragua","56","277","1"
"2021","November","11","Nicaragua","165","442","1"
"2021","December","12","Nicaragua","201","643","1"
"2020","November","11","Niger","94","94","1"
"2020","December","12","Niger","10","104","3"
"2021","April","4","Niger","50","154","1"
"2021","May","5","Niger","413","567","3"
"2021","September","9","Niger","1","568","1"
"2021","November","11","Niger","109","677","3"
"2021","December","12","Niger","458","1135","1"
"2020","July","7","Nigeria","12","12","2"
"2020","August","8","Nigeria","48","60","3"
"2020","September","9","Nigeria","26","86","1"
"2020","November","11","Nigeria","50","136","1"
"2020","December","12","Nigeria","86","222","2"
"2021","February","2","Nigeria","5","227","1"
"2021","March","3","Nigeria","6","233","1"
"2021","April","4","Nigeria","19","252","2"
"2021","May","5","Nigeria","335","587","2"
"2021","August","8","Nigeria","24","611","1"
"2021","September","9","Nigeria","118","729","1"
"2021","October","10","Nigeria","15","744","3"
"2021","December","12","Nigeria","48","792","2"
"2020","July","7","Niue","191","191","1"
"2020","November","11","Niue","43","234","1"
"2020","December","12","Niue","2","236","1"
"2021","April","4","Niue","12","248","1"
"2021","August","8","Niue","399","647","1"
"2021","October","10","Niue","260","907","1"
"2020","July","7","Norfolk Island","195","195","1"
"2020","November","11","Norfolk Island","500","695","5"
"2020","December","12","Norfolk Island","432","1127","3"
"2021","January","1","Norfolk Island","2","1129","1"
"2021","February","2","Norfolk Island","43","1172","2"
"2021","March","3","Norfolk Island","301","1473","3"
"2021","April","4","Norfolk Island","115","1588","3"
"2021","May","5","Norfolk Island","7","1595","1"
"2021","June","6","Norfolk Island","66","1661","1"
"2021","September","9","Norfolk Island","69","1730","1"
"2021","October","10","Norfolk Island","205","1935","3"
"2021","December","12","Norfolk Island","14","1949","2"
"2020","August","8","Northern Mariana Islands","104","104","2"
"2020","November","11","Northern Mariana Islands","131","235","4"
"2020","December","12","Northern Mariana Islands","136","371","1"
"2021","February","2","Northern Mariana Islands","159","530","2"
"2021","March","3","Northern Mariana Islands","75","605","2"
"2021","April","4","Northern Mariana Islands","30","635","2"
"2021","May","5","Northern Mariana Islands","23","658","3"
"2021","July","7","Northern Mariana Islands","67","725","1"
"2021","August","8","Northern Mariana Islands","433","1158","2"
"2021","October","10","Northern Mariana Islands","55","1213","1"
"2021","November","11","Northern Mariana Islands","7","1220","2"
"2021","December","12","Northern Mariana Islands","62","1282","1"
"2020","July","7","Norway","139","139","4"
"2020","August","8","Norway","414","553","2"
"2020","September","9","Norway","31","584","1"
"2020","November","11","Norway","86","670","4"
"2020","December","12","Norway","171","841","5"
"2021","January","1","Norway","35","876","2"
"2021","February","2","Norway","54","930","1"
"2021","March","3","Norway","148","1078","2"
"2021","April","4","Norway","1","1079","2"
"2021","May","5","Norway","81","1160","3"
"2021","August","8","Norway","5","1165","1"
"2021","September","9","Norway","2","1167","1"
"2021","October","10","Norway","165","1332","4"
"2021","December","12","Norway","16","1348","1"
"2020","November","11","Oman","51","51","1"
"2020","December","12","Oman","43","94","1"
"2021","February","2","Oman","323","417","1"
"2021","March","3","Oman","4","421","1"
"2021","April","4","Oman","288","709","2"
"2021","May","5","Oman","5","714","1"
"2021","August","8","Oman","16","730","1"
"2021","September","9","Oman","2","732","1"
"2020","July","7","Pakistan","3","3","1"
"2020","August","8","Pakistan","140","143","4"
"2020","September","9","Pakistan","35","178","1"
"2020","November","11","Pakistan","132","310","3"
"2020","December","12","Pakistan","500","810","3"
"2021","January","1","Pakistan","90","900","1"
"2021","March","3","Pakistan","11","911","1"
"2021","April","4","Pakistan","110","1021","1"
"2021","May","5","Pakistan","165","1186","2"
"2021","July","7","Pakistan","12","1198","1"
"2021","August","8","Pakistan","8","1206","1"
"2021","September","9","Pakistan","21","1227","1"
"2021","October","10","Pakistan","113","1340","3"
"2021","November","11","Pakistan","70","1410","2"
"2021","December","12","Pakistan","15","1425","2"
"2020","September","9","Palau","154","154","2"
"2020","November","11","Palau","98","252","2"
"2020","December","12","Palau","80","332","3"
"2021","February","2","Palau","9","341","1"
"2021","March","3","Palau","13","354","1"
"2021","April","4","Palau","10","364","1"
"2021","May","5","Palau","116","480","2"
"2021","August","8","Palau","10","490","1"
"2021","September","9","Palau","139","629","3"
"2021","December","12","Palau","57","686","1"
"2020","July","7","Palestinian Territory","48","48","1"
"2020","August","8","Palestinian Territory","41","89","1"
"2020","November","11","Palestinian Territory","41","130","4"
"2020","December","12","Palestinian Territory","353","483","1"
"2021","January","1","Palestinian Territory","85","568","1"
"2021","February","2","Palestinian Territory","16","584","1"
"2021","March","3","Palestinian Territory","46","630","2"
"2021","April","4","Palestinian Territory","87","717","1"
"2021","May","5","Palestinian Territory","1","718","1"
"2021","July","7","Palestinian Territory","45","763","1"
"2021","August","8","Palestinian Territory","71","834","2"
"2021","September","9","Palestinian Territory","269","1103","2"
"2021","October","10","Palestinian Territory","156","1259","2"
"2021","November","11","Palestinian Territory","31","1290","2"
"2021","December","12","Palestinian Territory","8","1298","1"
"2020","July","7","Panama","441","441","3"
"2020","August","8","Panama","160","601","1"
"2020","November","11","Panama","126","727","3"
"2020","December","12","Panama","65","792","2"
"2021","January","1","Panama","290","1082","1"
"2021","February","2","Panama","320","1402","1"
"2021","March","3","Panama","500","1902","4"
"2021","April","4","Panama","19","1921","1"
"2021","May","5","Panama","234","2155","2"
"2021","August","8","Panama","29","2184","3"
"2021","September","9","Panama","65","2249","1"
"2021","October","10","Panama","500","2749","3"
"2021","November","11","Panama","6","2755","1"
"2021","December","12","Panama","87","2842","3"
"2020","July","7","Papua New Guinea","10","10","1"
"2020","August","8","Papua New Guinea","17","27","1"
"2020","December","12","Papua New Guinea","20","47","1"
"2021","March","3","Papua New Guinea","16","63","1"
"2021","April","4","Papua New Guinea","106","169","2"
"2021","May","5","Papua New Guinea","125","294","2"
"2021","October","10","Papua New Guinea","110","404","3"
"2021","November","11","Papua New Guinea","15","419","1"
"2021","December","12","Papua New Guinea","82","501","3"
"2020","August","8","Paraguay","181","181","2"
"2020","November","11","Paraguay","257","438","4"
"2020","December","12","Paraguay","57","495","5"
"2021","March","3","Paraguay","39","534","1"
"2021","May","5","Paraguay","3","537","1"
"2021","August","8","Paraguay","190","727","2"
"2021","September","9","Paraguay","500","1227","2"
"2021","October","10","Paraguay","87","1314","2"
"2021","November","11","Paraguay","35","1349","1"
"2020","July","7","Peru","117","117","3"
"2020","August","8","Peru","33","150","1"
"2020","November","11","Peru","18","168","1"
"2021","May","5","Peru","12","180","1"
"2021","June","6","Peru","7","187","1"
"2021","September","9","Peru","10","197","1"
"2021","December","12","Peru","283","480","2"
"2020","July","7","Philippines","122","122","2"
"2020","August","8","Philippines","55","177","2"
"2020","September","9","Philippines","67","244","1"
"2020","November","11","Philippines","310","554","3"
"2021","March","3","Philippines","500","1054","1"
"2021","April","4","Philippines","264","1318","1"
"2021","May","5","Philippines","21","1339","1"
"2021","June","6","Philippines","70","1409","1"
"2021","August","8","Philippines","26","1435","1"
"2021","October","10","Philippines","23","1458","4"
"2020","July","7","Pitcairn Islands","312","312","3"
"2020","August","8","Pitcairn Islands","25","337","1"
"2020","November","11","Pitcairn Islands","388","725","4"
"2020","December","12","Pitcairn Islands","119","844","1"
"2021","January","1","Pitcairn Islands","24","868","1"
"2021","February","2","Pitcairn Islands","1","869","1"
"2021","March","3","Pitcairn Islands","26","895","1"
"2021","April","4","Pitcairn Islands","54","949","1"
"2021","May","5","Pitcairn Islands","500","1449","2"
"2021","August","8","Pitcairn Islands","500","1949","2"
"2021","September","9","Pitcairn Islands","294","2243","2"
"2021","October","10","Pitcairn Islands","214","2457","2"
"2021","November","11","Pitcairn Islands","7","2464","1"
"2021","December","12","Pitcairn Islands","93","2557","2"
"2020","July","7","Poland","223","223","3"
"2020","August","8","Poland","94","317","1"
"2020","September","9","Poland","45","362","1"
"2020","November","11","Poland","36","398","2"
"2020","December","12","Poland","128","526","3"
"2021","March","3","Poland","6","532","2"
"2021","April","4","Poland","5","537","3"
"2021","May","5","Poland","45","582","2"
"2021","September","9","Poland","20","602","2"
"2021","October","10","Poland","207","809","4"
"2021","November","11","Poland","22","831","1"
"2021","December","12","Poland","113","944","2"
"2020","August","8","Portugal","6","6","1"
"2020","November","11","Portugal","117","123","1"
"2020","December","12","Portugal","159","282","1"
"2021","April","4","Portugal","11","293","2"
"2021","May","5","Portugal","19","312","1"
"2021","September","9","Portugal","3","315","1"
"2021","October","10","Portugal","1","316","1"
"2021","December","12","Portugal","25","341","1"
"2020","September","9","Puerto Rico","105","105","1"
"2020","November","11","Puerto Rico","10","115","2"
"2020","December","12","Puerto Rico","17","132","2"
"2021","February","2","Puerto Rico","34","166","1"
"2021","April","4","Puerto Rico","93","259","1"
"2021","May","5","Puerto Rico","37","296","1"
"2020","December","12","Qatar","4","4","1"
"2021","April","4","Qatar","17","21","1"
"2021","August","8","Qatar","63","84","2"
"2020","July","7","Republic of Korea","126","126","4"
"2020","August","8","Republic of Korea","159","285","3"
"2020","November","11","Republic of Korea","28","313","2"
"2020","December","12","Republic of Korea","118","431","3"
"2021","January","1","Republic of Korea","56","487","2"
"2021","March","3","Republic of Korea","388","875","1"
"2021","April","4","Republic of Korea","126","1001","4"
"2021","May","5","Republic of Korea","40","1041","3"
"2021","June","6","Republic of Korea","33","1074","1"
"2021","July","7","Republic of Korea","1","1075","1"
"2021","September","9","Republic of Korea","475","1550","3"
"2021","October","10","Republic of Korea","25","1575","2"
"2021","December","12","Republic of Korea","380","1955","1"
"2020","November","11","Reunion","144","144","2"
"2021","March","3","Reunion","16","160","2"
"2021","April","4","Reunion","20","180","1"
"2021","September","9","Reunion","16","196","1"
"2020","July","7","Romania","65","65","1"
"2020","August","8","Romania","232","297","1"
"2020","September","9","Romania","9","306","1"
"2020","November","11","Romania","228","534","3"
"2020","December","12","Romania","61","595","1"
"2021","February","2","Romania","18","613","1"
"2021","March","3","Romania","28","641","3"
"2021","April","4","Romania","58","699","2"
"2021","May","5","Romania","86","785","1"
"2021","October","10","Romania","1","786","1"
"2021","December","12","Romania","2","788","1"
"2020","July","7","Russian Federation","419","419","4"
"2020","August","8","Russian Federation","54","473","3"
"2020","November","11","Russian Federation","170","643","3"
"2020","December","12","Russian Federation","61","704","1"
"2021","February","2","Russian Federation","32","736","1"
"2021","March","3","Russian Federation","121","857","3"
"2021","April","4","Russian Federation","30","887","1"
"2021","May","5","Russian Federation","59","946","2"
"2021","August","8","Russian Federation","107","1053","2"
"2021","September","9","Russian Federation","308","1361","3"
"2021","October","10","Russian Federation","103","1464","3"
"2021","December","12","Russian Federation","1","1465","1"
"2020","July","7","Rwanda","4","4","1"
"2020","August","8","Rwanda","247","251","3"
"2020","November","11","Rwanda","500","751","4"
"2020","December","12","Rwanda","134","885","1"
"2021","February","2","Rwanda","84","969","2"
"2021","March","3","Rwanda","48","1017","2"
"2021","April","4","Rwanda","272","1289","3"
"2021","May","5","Rwanda","86","1375","1"
"2021","July","7","Rwanda","125","1500","1"
"2021","August","8","Rwanda","38","1538","1"
"2021","October","10","Rwanda","97","1635","1"
"2021","November","11","Rwanda","15","1650","1"
"2020","July","7","Saint Barthelemy","102","102","1"
"2020","August","8","Saint Barthelemy","1","103","1"
"2020","November","11","Saint Barthelemy","121","224","3"
"2020","December","12","Saint Barthelemy","489","713","2"
"2021","January","1","Saint Barthelemy","33","746","1"
"2021","February","2","Saint Barthelemy","29","775","1"
"2021","May","5","Saint Barthelemy","45","820","3"
"2021","August","8","Saint Barthelemy","500","1320","2"
"2021","September","9","Saint Barthelemy","50","1370","2"
"2021","November","11","Saint Barthelemy","67","1437","1"
"2021","December","12","Saint Barthelemy","104","1541","2"
"2020","August","8","Saint Helena","59","59","1"
"2020","December","12","Saint Helena","45","104","1"
"2021","March","3","Saint Helena","73","177","2"
"2021","April","4","Saint Helena","12","189","2"
"2021","May","5","Saint Helena","53","242","1"
"2021","August","8","Saint Helena","28","270","1"
"2021","September","9","Saint Helena","70","340","2"
"2021","October","10","Saint Helena","43","383","1"
"2021","December","12","Saint Helena","200","583","2"
"2020","September","9","Saint Kitts and Nevis","148","148","1"
"2020","November","11","Saint Kitts and Nevis","88","236","5"
"2020","December","12","Saint Kitts and Nevis","500","736","3"
"2021","March","3","Saint Kitts and Nevis","4","740","1"
"2021","May","5","Saint Kitts and Nevis","69","809","2"
"2021","September","9","Saint Kitts and Nevis","108","917","1"
"2021","October","10","Saint Kitts and Nevis","3","920","1"
"2021","December","12","Saint Kitts and Nevis","20","940","1"
"2020","August","8","Saint Lucia","2","2","1"
"2021","May","5","Saint Lucia","31","33","1"
"2020","November","11","Saint Martin","166","166","1"
"2020","December","12","Saint Martin","2","168","1"
"2021","January","1","Saint Martin","5","173","1"
"2021","May","5","Saint Martin","10","183","1"
"2021","August","8","Saint Martin","27","210","1"
"2021","September","9","Saint Martin","53","263","1"
"2020","July","7","Saint Pierre and Miquelon","28","28","2"
"2020","August","8","Saint Pierre and Miquelon","94","122","2"
"2020","November","11","Saint Pierre and Miquelon","18","140","1"
"2020","December","12","Saint Pierre and Miquelon","111","251","2"
"2021","January","1","Saint Pierre and Miquelon","5","256","1"
"2021","March","3","Saint Pierre and Miquelon","29","285","1"
"2021","May","5","Saint Pierre and Miquelon","179","464","2"
"2021","September","9","Saint Pierre and Miquelon","57","521","2"
"2021","November","11","Saint Pierre and Miquelon","1","522","1"
"2021","December","12","Saint Pierre and Miquelon","24","546","1"
"2020","August","8","Saint Vincent and the Grenadines","500","500","1"
"2020","November","11","Saint Vincent and the Grenadines","500","1000","3"
"2021","March","3","Saint Vincent and the Grenadines","20","1020","1"
"2021","May","5","Saint Vincent and the Grenadines","22","1042","2"
"2021","October","10","Saint Vincent and the Grenadines","14","1056","1"
"2021","December","12","Saint Vincent and the Grenadines","178","1234","1"
"2020","July","7","San Marino","71","71","1"
"2020","November","11","San Marino","68","139","4"
"2020","December","12","San Marino","27","166","3"
"2021","January","1","San Marino","118","284","1"
"2021","February","2","San Marino","15","299","1"
"2021","March","3","San Marino","125","424","1"
"2021","April","4","San Marino","46","470","1"
"2021","May","5","San Marino","153","623","3"
"2021","September","9","San Marino","13","636","2"
"2021","October","10","San Marino","34","670","1"
"2020","August","8","Sao Tome and Principe","17","17","1"
"2020","November","11","Sao Tome and Principe","322","339","2"
"2020","December","12","Sao Tome and Principe","75","414","1"
"2021","March","3","Sao Tome and Principe","29","443","1"
"2021","April","4","Sao Tome and Principe","450","893","1"
"2021","May","5","Sao Tome and Principe","24","917","1"
"2021","June","6","Sao Tome and Principe","13","930","1"
"2021","October","10","Sao Tome and Principe","9","939","1"
"2021","December","12","Sao Tome and Principe","25","964","1"
"2020","August","8","Saudi Arabia","19","19","1"
"2020","November","11","Saudi Arabia","297","316","2"
"2020","December","12","Saudi Arabia","42","358","2"
"2021","February","2","Saudi Arabia","5","363","1"
"2021","March","3","Saudi Arabia","25","388","2"
"2021","April","4","Saudi Arabia","30","418","2"
"2021","July","7","Saudi Arabia","10","428","1"
"2021","August","8","Saudi Arabia","1","429","1"
"2021","December","12","Saudi Arabia","13","442","1"
"2020","November","11","Senegal","48","48","1"
"2020","December","12","Senegal","22","70","2"
"2021","February","2","Senegal","498","568","1"
"2021","March","3","Senegal","71","639","1"
"2021","April","4","Senegal","38","677","2"
"2021","May","5","Senegal","7","684","1"
"2021","August","8","Senegal","16","700","1"
"2021","September","9","Senegal","193","893","1"
"2021","October","10","Senegal","11","904","2"
"2021","November","11","Senegal","49","953","1"
"2020","July","7","Serbia","12","12","1"
"2020","August","8","Serbia","206","218","1"
"2020","November","11","Serbia","430","648","2"
"2021","March","3","Serbia","22","670","1"
"2021","May","5","Serbia","237","907","2"
"2021","August","8","Serbia","117","1024","2"
"2021","October","10","Serbia","40","1064","1"
"2021","December","12","Serbia","26","1090","1"
"2020","July","7","Seychelles","336","336","2"
"2020","August","8","Seychelles","78","414","1"
"2020","November","11","Seychelles","81","495","3"
"2020","December","12","Seychelles","42","537","1"
"2021","January","1","Seychelles","215","752","1"
"2021","February","2","Seychelles","66","818","1"
"2021","May","5","Seychelles","2","820","2"
"2021","August","8","Seychelles","1","821","1"
"2021","September","9","Seychelles","500","1321","2"
"2021","October","10","Seychelles","46","1367","1"
"2021","November","11","Seychelles","31","1398","3"
"2021","December","12","Seychelles","127","1525","3"
"2020","November","11","Sierra Leone","92","92","2"
"2020","December","12","Sierra Leone","22","114","1"
"2021","January","1","Sierra Leone","52","166","1"
"2021","February","2","Sierra Leone","15","181","2"
"2021","March","3","Sierra Leone","61","242","2"
"2021","April","4","Sierra Leone","267","509","4"
"2021","May","5","Sierra Leone","61","570","2"
"2021","August","8","Sierra Leone","38","608","1"
"2021","September","9","Sierra Leone","291","899","2"
"2021","November","11","Sierra Leone","38","937","1"
"2021","December","12","Sierra Leone","135","1072","2"
"2020","July","7","Singapore","3","3","1"
"2020","August","8","Singapore","78","81","2"
"2020","November","11","Singapore","43","124","4"
"2020","December","12","Singapore","46","170","1"
"2021","March","3","Singapore","133","303","1"
"2021","May","5","Singapore","425","728","2"
"2021","August","8","Singapore","41","769","1"
"2021","September","9","Singapore","167","936","2"
"2021","October","10","Singapore","100","1036","1"
"2021","December","12","Singapore","3","1039","2"
"2020","July","7","Slovakia (Slovak Republic)","2","2","1"
"2020","August","8","Slovakia (Slovak Republic)","48","50","1"
"2021","February","2","Slovakia (Slovak Republic)","48","98","1"
"2021","May","5","Slovakia (Slovak Republic)","48","146","3"
"2021","October","10","Slovakia (Slovak Republic)","1","147","1"
"2021","December","12","Slovakia (Slovak Republic)","26","173","1"
"2020","November","11","Slovenia","141","141","2"
"2020","December","12","Slovenia","167","308","1"
"2021","February","2","Slovenia","1","309","1"
"2021","March","3","Slovenia","35","344","1"
"2021","April","4","Slovenia","14","358","1"
"2021","August","8","Slovenia","38","396","1"
"2021","September","9","Slovenia","34","430","1"
"2021","December","12","Slovenia","101","531","1"
"2020","November","11","Solomon Islands","17","17","1"
"2021","September","9","Solomon Islands","176","193","1"
"2021","October","10","Solomon Islands","17","210","1"
"2020","August","8","Somalia","31","31","1"
"2020","November","11","Somalia","209","240","2"
"2020","December","12","Somalia","422","662","2"
"2021","February","2","Somalia","43","705","1"
"2021","April","4","Somalia","41","746","1"
"2021","May","5","Somalia","20","766","1"
"2021","September","9","Somalia","108","874","1"
"2021","October","10","Somalia","15","889","1"
"2021","November","11","Somalia","13","902","1"
"2020","July","7","South Africa","7","7","1"
"2020","August","8","South Africa","7","14","1"
"2020","September","9","South Africa","119","133","1"
"2020","November","11","South Africa","147","280","6"
"2020","December","12","South Africa","54","334","3"
"2021","January","1","South Africa","53","387","1"
"2021","February","2","South Africa","101","488","3"
"2021","March","3","South Africa","195","683","1"
"2021","April","4","South Africa","134","817","2"
"2021","May","5","South Africa","31","848","2"
"2021","August","8","South Africa","432","1280","2"
"2021","October","10","South Africa","158","1438","3"
"2021","November","11","South Africa","249","1687","2"
"2021","December","12","South Africa","68","1755","1"
"2020","July","7","South Georgia and the South Sandwich Islands","70","70","1"
"2020","November","11","South Georgia and the South Sandwich Islands","49","119","3"
"2021","February","2","South Georgia and the South Sandwich Islands","17","136","1"
"2021","March","3","South Georgia and the South Sandwich Islands","57","193","1"
"2021","April","4","South Georgia and the South Sandwich Islands","12","205","2"
"2021","May","5","South Georgia and the South Sandwich Islands","56","261","2"
"2021","September","9","South Georgia and the South Sandwich Islands","42","303","1"
"2021","October","10","South Georgia and the South Sandwich Islands","1","304","1"
"2021","November","11","South Georgia and the South Sandwich Islands","19","323","3"
"2020","August","8","Spain","430","430","1"
"2020","November","11","Spain","19","449","1"
"2020","December","12","Spain","2","451","1"
"2021","February","2","Spain","23","474","1"
"2021","March","3","Spain","206","680","2"
"2021","April","4","Spain","54","734","1"
"2021","August","8","Spain","5","739","1"
"2021","September","9","Spain","47","786","1"
"2021","October","10","Spain","1","787","1"
"2021","November","11","Spain","10","797","1"
"2020","August","8","Sri Lanka","10","10","1"
"2020","September","9","Sri Lanka","17","27","1"
"2020","October","10","Sri Lanka","204","231","1"
"2020","November","11","Sri Lanka","26","257","3"
"2020","December","12","Sri Lanka","5","262","2"
"2021","February","2","Sri Lanka","220","482","1"
"2021","March","3","Sri Lanka","15","497","1"
"2021","May","5","Sri Lanka","1","498","1"
"2021","July","7","Sri Lanka","4","502","1"
"2021","August","8","Sri Lanka","15","517","2"
"2021","September","9","Sri Lanka","30","547","2"
"2021","November","11","Sri Lanka","76","623","2"
"2021","December","12","Sri Lanka","130","753","1"
"2020","July","7","Sudan","1","1","1"
"2020","August","8","Sudan","3","4","1"
"2020","September","9","Sudan","20","24","1"
"2020","November","11","Sudan","169","193","2"
"2020","December","12","Sudan","105","298","2"
"2021","February","2","Sudan","102","400","3"
"2021","May","5","Sudan","500","900","1"
"2021","November","11","Sudan","184","1084","3"
"2021","December","12","Sudan","439","1523","1"
"2020","July","7","Suriname","128","128","1"
"2020","August","8","Suriname","67","195","2"
"2020","September","9","Suriname","28","223","1"
"2020","November","11","Suriname","14","237","1"
"2020","December","12","Suriname","33","270","1"
"2021","February","2","Suriname","12","282","1"
"2021","March","3","Suriname","105","387","1"
